,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ha Tinh,92,VN,1553568951,100,18.33,105.9,73.29,5.73
1,Colquechaca,92,BO,1553569111,97,-18.7,-66.0,45.03,1.92
2,Mar del Plata,68,AR,1553569112,100,-46.43,-67.52,47.55,6.06
3,Tasiilaq,88,GL,1553565000,86,65.61,-37.64,26.6,29.97
4,Hobart,75,AU,1553568914,38,-42.88,147.33,59.0,19.46
5,Rikitea,64,PF,1553569116,100,-23.12,-134.97,75.99,9.53
6,Aquiraz,20,BR,1553569105,88,-3.9,-38.39,81.0,2.24
7,Arraial do Cabo,0,BR,1553569118,99,-22.97,-42.02,76.26,4.16
8,East London,92,ZA,1553569119,100,-33.02,27.91,68.79,18.14
9,Hilo,40,US,1553568803,60,19.71,-155.08,75.2,11.41
10,Bluff,68,AU,1553568885,50,-23.58,149.07,87.15,4.61
11,Wanaka,64,NZ,1553569123,73,-44.7,169.14,64.47,6.62
12,Busselton,44,AU,1553569080,26,-33.64,115.35,78.01,14.23
13,Husavik,0,CA,1553569125,75,50.56,-96.99,24.51,9.08
14,Hasaki,75,JP,1553567400,93,35.73,140.83,57.0,2.24
15,Jafarpur,20,IN,1553567400,69,22.78,88.39,82.4,9.17
16,Qaanaaq,0,GL,1553569129,70,77.48,-69.36,-11.23,8.52
17,Syasstroy,92,RU,1553569130,93,60.14,32.56,29.28,4.72
18,Gunjur,40,GM,1553565600,82,13.18,-16.76,66.2,11.41
19,Thompson,75,CA,1553565600,39,55.74,-97.86,30.2,8.05
20,Esna,8,RO,1553569134,67,45.2,27.57,45.39,11.32
21,Kodiak,40,US,1553569112,75,39.95,-94.76,46.99,8.05
22,Umm Kaddadah,0,SD,1553569136,23,13.6,26.69,67.08,13.33
23,Ushuaia,75,AR,1553565600,65,-54.81,-68.31,46.4,24.16
24,Punta Arenas,40,CL,1553568747,65,-53.16,-70.91,44.6,6.93
25,Jamestown,0,AU,1553569140,63,-33.21,138.6,66.18,7.96
26,Yarensk,80,RU,1553569141,86,62.17,49.09,30.72,10.76
27,Sinnamary,100,GF,1553569142,92,5.38,-52.96,80.49,10.76
28,Upernavik,88,GL,1553569143,100,72.79,-56.15,2.73,12.44
29,Bambari,24,CF,1553569145,87,5.77,20.68,73.38,8.75
30,Mataura,88,NZ,1553568607,90,-46.19,168.86,62.01,1.99
31,Belen,75,TR,1553568979,62,36.49,36.19,55.4,13.87
32,Cape Town,0,ZA,1553568792,72,-33.93,18.42,64.0,21.92
33,Ilulissat,88,GL,1553565000,85,69.22,-51.1,23.0,10.29
34,Hokitika,100,NZ,1553569151,96,-42.72,170.96,65.91,27.42
35,Castro,0,CL,1553565600,81,-42.48,-73.76,50.0,11.41
36,Yatou,75,CM,1553565600,100,3.63,9.81,78.8,2.24
37,Bredasdorp,32,ZA,1553565600,87,-34.53,20.04,60.8,1.12
38,Solnechnyy,8,RU,1553569157,70,50.72,136.64,24.78,8.41
39,Isangel,40,VU,1553565600,62,-19.55,169.27,87.8,13.87
40,Albany,1,US,1553568910,30,42.65,-73.75,32.0,6.93
41,Kamenka,36,RU,1553569161,81,53.19,44.05,22.17,7.74
42,Cabra,20,ES,1553569079,81,37.47,-4.43,48.99,1.12
43,Fukue,40,JP,1553569137,58,35.03,136.69,68.0,6.93
44,Port Elizabeth,90,US,1553569148,93,39.31,-74.98,44.6,6.93
45,Kapaa,90,US,1553568804,83,22.08,-159.32,75.2,9.17
46,Westport,44,IE,1553568724,76,53.8,-9.52,48.99,8.86
47,Mahebourg,40,MU,1553569147,94,-20.41,57.7,77.0,12.44
48,Pumiao,90,CN,1553565600,93,22.75,108.49,60.8,4.47
49,Vilhena,56,BR,1553569141,95,-12.74,-60.15,70.86,0.92
50,Burnie,32,AU,1553569135,48,-41.05,145.91,60.01,18.99
51,Fethiye,0,TR,1553569053,93,36.62,29.12,52.0,5.82
52,Vao,12,EE,1553569174,84,59.1,26.19,25.77,8.97
53,Kruisfontein,0,ZA,1553569175,87,-34.0,24.73,57.99,5.61
54,Avarua,76,CK,1553567400,83,-21.21,-159.78,82.4,6.93
55,Viedma,0,AR,1553569177,86,-40.81,-62.99,48.09,7.18
56,Cherskiy,48,RU,1553569178,75,68.75,161.3,7.5,11.99
57,Geraldton,5,CA,1553565600,31,49.72,-86.95,21.2,4.7
58,Vieques,20,PR,1553568942,74,18.43,-65.83,78.8,5.82
59,Bambous Virieux,40,MU,1553569147,94,-20.34,57.76,77.0,12.44
60,Omsukchan,68,RU,1553569183,70,62.53,155.8,4.35,14.23
61,Victoria,75,BN,1553565600,66,5.28,115.24,87.8,5.82
62,Hambantota,0,LK,1553566200,83,6.12,81.12,78.8,4.7
63,Kloulklubed,75,PW,1553565000,70,7.04,134.26,86.0,6.93
64,Buzmeyin,90,TM,1553565600,93,38.05,58.21,50.0,9.17
65,Paveh,20,IR,1553565600,86,35.05,46.36,39.2,4.7
66,Katobu,20,ID,1553569191,91,-4.94,122.53,85.26,3.71
67,Cayenne,0,GF,1553567400,78,4.94,-52.33,77.0,2.24
68,Puerto Ayora,0,EC,1553568338,90,-0.74,-90.35,79.0,1.99
69,Aksu,40,KZ,1553567400,95,52.04,76.93,32.0,6.71
70,Faanui,12,PF,1553569196,100,-16.48,-151.75,83.01,12.1
71,New Norfolk,75,AU,1553569154,36,-42.78,147.06,60.8,18.34
72,Svetlaya,92,RU,1553569199,100,46.54,138.33,28.92,20.49
73,Tuktoyaktuk,20,CA,1553566860,92,69.44,-133.03,14.0,2.24
74,Kyabe,36,TD,1553569201,60,9.45,18.94,80.22,9.42
75,Reconquista,20,AR,1553569203,68,-29.14,-59.64,63.75,13.56
76,Lebu,0,ET,1553565600,51,8.96,38.73,59.0,5.82
77,Port Alfred,8,ZA,1553569209,95,-33.59,26.89,65.46,10.2
78,Fare,88,PF,1553569211,98,-16.7,-151.02,84.45,11.65
79,Bilibino,88,RU,1553569212,67,68.06,166.44,8.49,8.41
80,Mogzon,48,RU,1553569214,51,51.74,111.97,19.83,7.96
81,Atuona,8,PF,1553569170,100,-9.8,-139.03,82.65,14.45
82,Yellowknife,90,CA,1553569103,83,62.45,-114.38,32.0,9.17
83,Chokurdakh,0,RU,1553569218,97,70.62,147.9,0.03,6.85
84,Katsuura,40,JP,1553567676,48,33.93,134.5,60.8,17.22
85,Oranjestad,20,AW,1553565600,78,12.52,-70.03,78.8,18.34
86,Hermanus,32,ZA,1553568355,61,-34.42,19.24,64.0,7.0
87,Port Lincoln,44,AU,1553569223,86,-34.72,135.86,66.0,7.96
88,Minsk Mazowiecki,75,PL,1553569219,96,52.18,21.57,37.0,10.29
89,Norman Wells,75,CA,1553565600,60,65.28,-126.83,41.0,13.87
90,Magadan,24,RU,1553569038,100,59.56,150.8,23.61,12.66
91,Barrow,92,AR,1553569228,75,-38.31,-60.23,53.58,4.27
92,Podor,0,MR,1553569229,87,16.65,-14.96,60.96,11.1
93,Lasa,40,CY,1553568600,81,34.92,32.53,46.4,6.93
94,Auki,0,NG,1553569232,55,12.18,6.51,64.29,2.71
95,Mayo,75,CA,1553565600,65,63.59,-135.9,41.0,11.41
96,Tura,36,IN,1553569234,69,25.52,90.21,77.43,4.16
97,Sitka,100,US,1553568334,70,37.17,-99.65,51.01,8.01
98,Tigil,76,RU,1553569237,88,57.8,158.67,22.35,14.67
99,Staryy Nadym,56,RU,1553569238,93,65.61,72.68,31.17,18.03
100,Hervey Bay,75,AU,1553565600,58,-25.3,152.85,86.0,8.05
101,Paamiut,64,GL,1553569240,100,61.99,-49.67,25.5,25.3
102,Ixtapa,5,MX,1553568922,88,20.71,-105.21,75.0,2.24
103,Chebsara,40,RU,1553567400,92,59.2,38.84,23.0,2.24
104,Laguna,90,MX,1553564640,46,27.52,-110.01,69.8,3.6
105,Hithadhoo,80,MV,1553569245,100,-0.6,73.08,84.45,7.85
106,Sioux Lookout,5,CA,1553565600,37,50.1,-91.92,26.6,2.93
107,Khatanga,80,RU,1553569248,90,71.98,102.47,23.61,14.79
108,Vardo,90,US,1553569247,86,39.62,-77.74,42.01,6.93
109,Ayagoz,24,KZ,1553569250,100,47.96,80.43,27.48,6.62
110,Goderich,0,CA,1553569229,75,43.74,-81.71,32.0,12.77
111,Chute-aux-Outardes,40,CA,1553569097,66,49.12,-68.38,23.0,8.05
112,Vestmanna,92,FO,1553566800,93,62.16,-7.17,46.4,11.41
113,Ekibastuz,64,KZ,1553569255,97,51.72,75.32,29.73,10.42
114,Vaini,8,IN,1553565600,78,15.34,74.49,73.4,3.49
115,Clyde River,90,CA,1553565600,54,70.47,-68.59,-0.41,19.46
116,Shache,0,CN,1553569259,41,38.42,77.24,49.44,4.5
117,Carnarvon,0,ZA,1553569260,89,-30.97,22.13,50.25,12.33
118,Aykhal,0,RU,1553569261,65,65.95,111.51,9.57,3.94
119,Los Llanos de Aridane,0,ES,1553567400,72,28.66,-17.92,60.8,6.93
120,Canala,75,NC,1553567400,55,-21.52,165.96,86.0,9.17
121,Butaritari,80,KI,1553569265,100,3.07,172.79,82.92,14.67
122,Pangody,80,RU,1553569266,93,65.85,74.49,31.89,19.37
123,Tuatapere,80,NZ,1553569209,89,-46.13,167.69,62.01,3.0
124,Sao Joao da Barra,76,BR,1553569240,100,-21.64,-41.05,80.58,11.77
125,Brewster,90,US,1553569267,74,41.76,-70.08,37.99,3.36
126,Kokorevka,40,RU,1553565600,93,52.59,34.27,32.0,6.71
127,Kudahuvadhoo,0,MV,1553569273,100,2.67,72.89,84.36,13.22
128,Portland,90,US,1553569202,81,45.52,-122.67,50.0,5.95
129,Saskylakh,48,RU,1553569173,74,71.97,114.09,5.52,4.94
130,Belaya Gora,8,RU,1553569276,95,68.54,146.19,0.21,6.62
131,Ugep,88,NG,1553569277,88,5.81,8.08,76.53,7.29
132,Ostrovnoy,68,RU,1553569188,88,68.05,39.51,25.23,11.99
133,Hun,75,BE,1553569266,81,50.34,4.87,44.6,4.7
134,Miri,20,NG,1553569281,54,10.31,9.75,63.75,3.49
135,Zaozerne,12,UA,1553569282,91,51.37,23.94,30.45,11.43
136,Gunnedah,90,AU,1553567400,38,-30.98,150.25,77.0,6.93
137,Marawi,20,PH,1553568397,71,8.0,124.29,81.0,5.99
138,Bethel,90,US,1553568240,93,60.79,-161.76,39.2,24.16
139,Teodoro Sampaio,32,BR,1553569287,74,-22.53,-52.17,70.95,5.73
140,Ribeira Grande,88,PT,1553569228,97,38.52,-28.7,61.05,8.97
141,San Quintin,0,PH,1553569289,49,17.54,120.52,85.8,3.94
142,Atambua,12,ID,1553569291,99,-9.11,124.89,83.19,4.83
143,Rajpipla,0,IN,1553567400,50,21.87,73.5,75.2,6.93
144,Georgetown,0,GY,1553565600,88,6.8,-58.16,75.2,4.7
145,Bambanglipuro,56,ID,1553569105,98,-7.95,110.28,81.75,3.94
146,Dikson,88,RU,1553569296,98,73.51,80.55,29.73,14.12
147,Ballina,12,IE,1553569091,90,54.11,-9.15,46.99,1.99
148,Lerwick,75,GB,1553566800,93,60.15,-1.15,44.6,19.46
149,Albertville,0,FR,1553569279,60,45.68,6.39,44.6,13.87
150,Vila Velha,20,BR,1553569217,88,-3.71,-38.6,81.0,2.24
151,Bagamoyo,75,MZ,1553565600,78,-25.89,32.56,77.0,11.41
152,Cabo San Lucas,5,MX,1553569283,56,22.89,-109.91,73.4,8.05
153,Olga,20,US,1553569230,58,34.11,-118.17,66.0,9.17
154,Khasan,0,RU,1553569306,67,42.43,130.64,39.36,15.23
155,Coihaique,0,CL,1553565600,81,-45.58,-72.07,48.2,5.82
156,Salalah,75,OM,1553565000,74,17.01,54.1,78.8,8.05
157,Nibbar,40,TN,1553565600,81,36.29,8.77,51.8,6.93
158,Pozo Colorado,20,PY,1553569310,68,-23.49,-58.8,77.43,10.65
159,Lulea,0,SE,1553566800,78,65.58,22.15,17.6,4.7
160,Castro Alves,68,BR,1553569313,96,-12.76,-39.43,70.95,1.81
161,Dergachi,36,RU,1553569314,77,51.24,48.77,22.89,4.38
162,Yeniseysk,32,RU,1553569315,72,58.45,92.17,28.92,3.38
163,Shahr-e Babak,100,IR,1553569317,81,30.12,55.12,51.78,15.12
164,Oistins,40,BB,1553565600,78,13.07,-59.53,77.0,21.92
165,Baoying,0,CN,1553569187,65,33.24,119.31,82.0,7.63
166,Ulladulla,0,AU,1553569271,24,-35.36,150.48,72.0,8.05
167,Namibe,12,AO,1553569321,100,-15.19,12.15,75.36,4.83
168,La Ronge,20,CA,1553565600,37,55.1,-105.3,35.6,6.93
169,Pyapon,0,MM,1553569324,70,16.29,95.68,85.08,4.05
170,Paka,40,HR,1553567400,80,45.29,18.06,41.0,8.05
171,Dutlwe,68,BW,1553569327,61,-23.98,23.93,69.96,2.71
172,Cocal,92,BR,1553569192,98,-3.47,-41.56,71.58,2.15
173,Linjiang,0,CN,1553569311,42,41.81,126.91,32.88,5.73
174,Massakory,0,TD,1553569330,24,13.0,15.73,74.19,13.33
175,Tegal,88,ID,1553569332,100,-6.87,109.14,77.25,1.59
176,Rawson,0,AR,1553569333,82,-43.3,-65.11,48.9,8.63
177,Victoria,75,BN,1553567400,66,5.28,115.24,87.8,5.82
178,Cidreira,0,BR,1553569336,91,-30.17,-50.22,58.89,3.71
179,Ohafia,80,NG,1553569337,93,5.62,7.83,75.63,5.95
180,Comarapa,76,BO,1553569338,99,-17.91,-64.53,56.1,2.26
181,Codrington,75,AU,1553569154,69,-28.95,153.24,84.2,6.93
182,Mossendjo,76,CG,1553569341,95,-2.95,12.72,70.68,0.81
183,Santa Maria del Oro,0,MX,1553569342,40,25.95,-105.37,55.65,1.59
184,Kieta,44,PG,1553569343,100,-6.22,155.63,79.86,3.6
185,Kihei,40,US,1553568881,42,20.76,-156.45,82.4,20.8
186,Esperance,20,TT,1553569208,83,10.24,-61.45,77.0,4.7
187,Ponta do Sol,20,BR,1553569254,77,-20.63,-46.0,68.88,2.48
188,Garowe,92,SO,1553569348,91,8.41,48.48,72.66,7.52
189,Porto Novo,0,BR,1553565600,77,-23.68,-45.44,69.8,2.71
190,Hay River,90,CA,1553567640,80,60.82,-115.79,39.2,10.29
191,Diego de Almagro,0,CL,1553569352,88,-26.39,-70.05,58.71,2.15
192,Sabancuy,0,MX,1553569353,96,18.97,-91.18,79.05,18.25
193,Torbay,90,CA,1553569106,92,47.66,-52.73,32.0,17.22
194,Shenzhen,20,CN,1553569348,69,22.54,114.05,80.01,13.87
195,Mehamn,76,NO,1553569357,84,71.03,27.85,25.59,11.77
196,Taltal,0,CL,1553569246,96,-25.41,-70.49,55.74,0.92
197,Tabou,12,CI,1553569359,97,4.42,-7.36,83.46,5.84
198,Quatre Cocos,40,MU,1553569147,94,-20.21,57.76,77.0,12.44
199,Kozhevnikovo,0,RU,1553569239,72,56.26,83.98,34.0,2.82
200,Sokoto,36,NG,1553569363,55,13.06,5.24,70.14,3.94
201,Muros,0,ES,1553569354,65,42.77,-9.06,59.0,3.36
202,Coquimbo,90,CL,1553565600,87,-29.95,-71.34,57.2,2.24
203,Yulara,0,AU,1553565600,26,-25.24,130.99,78.8,13.87
204,Marolambo,12,MG,1553569367,87,-20.05,48.13,61.95,2.37
205,Atasu,32,KZ,1553569285,90,48.68,71.64,37.74,13.67
206,Provideniya,75,RU,1553567400,93,64.42,-173.23,35.6,26.84
207,Balaipungut,88,ID,1553569371,86,1.11,101.31,80.85,3.6
208,Tamworth,90,AU,1553569204,38,-31.09,150.93,77.0,6.93
209,Waipawa,8,NZ,1553568557,50,-39.94,176.59,79.0,5.99
210,Kavaratti,0,IN,1553569369,100,10.57,72.64,83.28,1.25
211,El Reno,1,US,1553569216,81,35.53,-97.96,52.0,3.36
212,Rocha,24,UY,1553569377,92,-34.48,-54.34,57.99,6.17
213,Lichinga,32,MZ,1553569378,93,-13.3,35.25,64.83,0.58
214,Rabat,0,MA,1553569266,68,34.02,-6.83,64.4,5.82
215,Bandarbeyla,92,SO,1553569230,100,9.49,50.81,79.86,5.61
216,Kaitangata,80,NZ,1553569262,97,-46.28,169.85,64.56,10.98
217,Saint-Philippe,1,CA,1553569115,49,45.36,-73.48,28.99,6.93
218,Pryozerne,40,UA,1553567400,100,49.42,24.47,33.8,6.71
219,Khvorostyanka,0,RU,1553569385,88,52.62,48.95,25.95,9.75
220,Lima,0,PE,1553568906,78,-12.06,-77.04,71.6,11.41
221,Bhabua,48,IN,1553569387,76,25.04,83.61,71.04,11.54
222,Ancud,0,CL,1553565600,81,-41.87,-73.83,50.0,11.41
223,Atar,0,MR,1553569390,59,20.52,-13.05,55.38,5.61
224,Duvan,88,RU,1553569391,81,55.69,57.9,31.8,11.43
225,Heinola,0,FI,1553569033,62,61.2,26.03,24.8,8.05
226,Srednekolymsk,88,RU,1553569393,52,67.46,153.71,-4.3,7.96
227,Bucerias,5,MX,1553569246,88,20.76,-105.33,73.99,2.24
228,Bronnoysund,0,NO,1553569202,80,65.46,12.2,34.0,2.24
229,Carutapera,88,BR,1553569397,98,-1.2,-46.02,76.71,3.15
230,Iqaluit,20,CA,1553569323,58,63.75,-68.52,-2.01,12.75
231,Anadyr,75,RU,1553569347,91,64.73,177.51,32.0,49.21
232,Ponta Delgada,20,PT,1553569372,76,37.73,-25.67,57.2,14.99
233,Maniitsoq,20,GL,1553569402,83,65.42,-52.9,18.03,11.65
234,Bubaque,0,GW,1553569178,100,11.28,-15.83,75.27,15.23
235,Koscian,90,PL,1553569143,91,52.09,16.65,36.0,8.05
236,Bandiagara,64,ML,1553569406,34,14.35,-3.61,77.34,6.96
237,Saldanha,0,PT,1553569407,44,41.42,-6.55,42.69,16.24
238,Salym,64,RU,1553569408,74,60.06,71.48,32.07,14.79
239,Batemans Bay,0,AU,1553569283,40,-35.71,150.18,70.0,3.0
240,Margate,75,AU,1553569394,36,-43.03,147.26,60.8,18.34
241,Rafaela,92,AR,1553569280,65,-31.25,-61.49,60.01,3.0
242,Boralday,0,KZ,1553567400,57,43.36,76.86,50.0,1.92
243,Pacific Grove,90,US,1553569234,87,36.62,-121.92,62.6,5.82
244,Iwaki,75,JP,1553569401,40,37.05,140.89,55.99,5.82
245,Souillac,0,FR,1553569388,65,45.6,-0.6,41.0,8.05
246,Flinders,0,AU,1553569343,24,-34.58,150.85,75.99,8.05
247,Stokmarknes,20,NO,1553569243,72,68.56,14.91,30.0,5.01
248,Brigantine,90,US,1553569417,93,39.41,-74.36,43.0,6.93
249,Mazsalaca,20,LV,1553569216,89,57.87,25.05,30.0,1.99
250,Sorland,48,NO,1553569422,100,67.67,12.69,36.48,7.85
251,San Borja,80,BO,1553569424,94,-14.86,-66.75,72.93,1.7
252,Linxia,12,CN,1553569223,44,35.6,103.21,44.76,3.04
253,Mount Gambier,90,AU,1553565600,59,-37.83,140.78,62.6,13.87
254,Noyabrsk,76,RU,1553569427,95,63.2,75.45,29.73,16.13
255,Tuy Hoa,76,VN,1553569428,92,13.08,109.3,78.24,8.75
256,Sao Filipe,0,CV,1553569430,100,14.9,-24.5,68.61,8.41
257,Panaba,48,MX,1553569431,74,21.28,-88.27,77.34,6.4
258,Puerto Tejada,40,CO,1553565600,78,3.23,-76.42,73.4,3.36
259,Coracora,0,PE,1553569433,89,-15.02,-73.78,34.14,2.15
260,Narsaq,68,GL,1553565000,67,60.91,-46.05,21.2,11.41
261,Shubarshi,0,KZ,1553569436,76,48.59,57.19,23.88,3.94
262,Chake Chake,8,TZ,1553569437,100,-5.25,39.77,80.58,4.38
263,Mezen,64,RU,1553569438,85,65.85,44.24,24.51,2.48
264,Privolzhye,0,RU,1553569439,76,52.86,48.6,24.15,8.08
265,Kahului,40,US,1553569289,42,20.89,-156.47,82.4,20.8
266,Lucapa,44,AO,1553569442,97,-8.42,20.74,66.81,3.15
267,Hofn,0,IS,1553569443,93,64.25,-15.21,42.24,26.53
268,Oksfjord,68,NO,1553569235,68,70.24,22.35,30.2,28.86
269,Tual,48,ID,1553569445,100,-5.67,132.75,83.19,6.29
270,Nome,1,US,1553569416,93,30.04,-94.42,71.01,7.74
271,Leshukonskoye,64,RU,1553569448,96,64.9,45.76,26.85,2.48
272,Marienburg,75,DE,1553569405,100,52.12,9.98,41.0,9.17
273,Nemuro,40,JP,1553565600,89,43.32,145.57,37.4,5.82
274,San Pedro,0,AR,1553568974,77,-33.68,-59.66,52.0,10.42
275,Maldonado,75,UY,1553565600,77,-34.91,-54.96,62.6,17.22
276,Aswan,0,EG,1553569454,72,24.09,32.9,48.36,2.59
277,Berlevag,20,NO,1553569455,100,70.86,29.09,26.04,11.88
278,Soyo,88,AO,1553569456,96,-6.13,12.37,76.71,2.26
